fixture_id,no_draw_home,draw_home,no_draw_away,draw_away
721354,5,0,0,2
721356,0,4,2,0
721359,0,1,0,1
721368,1,0,9,0
721360,2,0,0,1
721363,0,1,6,0
721364,0,1,0,5
721367,0,2,9,0
721361,3,0,0,1
721362,1,0,0,2
721366,0,1,0,4
721369,3,0,1,0
721365,0,2,3,0
721377,10,0,1,0
721379,1,0,0,2
721372,7,0,1,0
721373,1,0,4,0
721378,0,1,2,0
721380,0,1,1,0
721375,10,0,2,0
721376,1,0,0,2
721374,0,6,0,3
721370,1,0,3,0
721371,0,5,0,1
721389,2,0,11,0
721391,0,1,0,2
721386,2,0,0,1
721383,0,3,1,0
721381,0,1,8,0
721384,2,0,2,0
721387,0,1,1,0
721385,0,4,1,0
721388,1,0,0,1
721382,2,0,0,1
721390,4,0,0,7
721394,2,0,3,0
721399,3,0,1,0
721402,1,0,1,0
721392,2,0,3,0
721400,12,0,1,0
721401,1,0,0,1
721393,2,0,1,0
721396,1,0,3,0
721397,0,8,3,0
721398,1,0,1,0
721395,9,0,2,0
721407,2,0,0,1
721408,0,1,4,0
721403,2,0,13,0
721406,0,1,0,1
721409,0,1,2,0
721411,4,0,3,0
721404,4,0,2,0
721410,3,0,0,9
721412,1,0,2,0
721413,2,0,10,0
721405,2,0,3,0
721414,0,2,0,1
721415,1,0,0,1
721416,4,0,5,0
721419,3,0,1,0
721424,3,0,5,0
721421,3,0,1,0
721420,1,0,1,0
721423,0,1,3,0
721422,5,0,4,0
721417,4,0,0,1
721418,0,1,2,0
721428,2,0,5,0
721429,4,0,0,1
721427,2,0,1,0
721432,0,1,0,1
721425,0,1,2,0
721430,0,1,2,0
721434,1,0,6,0
721433,3,0,1,0
721431,5,0,1,0
721435,1,0,0,1
721426,4,0,1,0
721443,1,0,3,0
721436,0,2,1,0
721446,5,0,1,0
721441,7,0,5,0
721442,2,0,6,0
721445,3,0,1,0
721439,2,0,1,0
721444,2,0,2,0
721437,2,0,3,0
721438,6,0,4,0
721440,3,0,0,1
721448,0,1,1,0
721452,2,0,0,1
721455,7,0,6,0
721449,4,0,0,1
721453,8,0,0,1
721451,6,0,3,0
721447,1,0,2,0
721454,2,0,4,0
721457,0,1,3,0
721450,3,0,7,0
721456,0,1,5,0
721467,0,2,7,0
721465,0,2,0,1
721461,4,0,0,2
721459,7,0,0,1
721458,0,2,1,0
721460,0,1,0,1
721462,8,0,8,0
721468,3,0,0,1
721463,0,1,1,0
721464,4,0,4,0
721466,6,0,2,0
721472,1,0,1,0
721469,0,1,7,0
721478,9,0,0,3
721476,0,2,1,0
721479,2,0,8,0
721473,0,1,0,3
721470,3,0,5,0
721474,8,0,1,0
721475,1,0,0,1
721477,1,0,4,0
721471,1,0,9,0
721490,0,1,10,0
721481,0,2,0,1
721484,0,1,0,1
721482,0,1,0,1
721489,1,0,2,0
721485,0,1,0,1
721487,2,0,0,2
721488,0,2,2,0
721480,0,1,0,1
721486,10,0,9,0
721495,0,1,0,2
721501,11,0,0,2
721491,1,0,11,0
721498,10,0,1,0
721500,1,0,1,0
721496,1,0,0,4
721493,0,2,1,0
721494,3,0,3,0
721492,0,1,1,0
721497,1,0,1,0
721499,0,2,1,0
721511,0,3,2,0
721503,2,0,1,0
721512,2,0,1,0
721510,11,0,0,1
721504,2,0,12,0
721502,2,0,1,0
721506,0,5,4,0
721507,2,0,0,1
721509,1,0,4,0
721505,2,0,2,0
721508,1,0,2,0
721483,1,0,0,1
721520,0,1,0,1
721521,0,1,12,0
721514,2,0,0,1
721517,0,1,3,0
721513,1,0,0,1
721519,0,2,0,4
721515,3,0,2,0
721516,2,0,0,1
721522,2,0,5,0
721518,0,1,3,0
721523,1,0,0,1
721532,0,1,1,0
721533,1,0,0,1
721528,0,1,2,0
721524,1,0,3,0
721530,1,0,2,0
721526,1,0,0,1
721534,4,0,3,0
721529,0,1,1,0
721527,1,0,1,0
721531,1,0,1,0
721525,4,0,0,2
721542,3,0,0,1
721544,3,0,1,0
721538,0,1,1,0
721541,0,3,2,0
721539,2,0,2,0
721536,1,0,2,0
721535,4,0,1,0
721543,2,0,2,0
721537,4,0,1,0
721545,5,0,0,1
721540,2,0,2,0
721556,0,1,0,4
721549,2,0,3,0
721555,1,0,6,0
721552,0,1,2,0
721548,0,1,4,0
721554,3,0,0,1
721550,0,1,5,0
721553,2,0,0,1
721547,0,1,0,1
721546,1,0,4,0
721551,3,0,0,2
721567,7,0,0,2
721563,1,0,2,0
721558,0,1,0,1
721562,1,0,2,0
721560,1,0,1,0
721557,0,2,3,0
721566,5,0,0,2
721559,0,1,0,2
721561,4,0,4,0
721564,5,0,3,0
721565,0,2,1,0
721577,6,0,0,3
721572,4,0,2,0
721568,3,0,1,0
721573,1,0,2,0
721570,3,0,1,0
721578,1,0,6,0
721574,5,0,2,0
721569,2,0,1,0
721575,1,0,1,0
721576,0,1,5,0
721571,2,0,8,0
721586,3,0,7,0
721589,1,0,7,0
721580,2,0,0,1
721585,3,0,2,0
721582,0,1,0,2
721583,0,1,4,0
721581,0,1,5,0
721587,2,0,0,1
721588,0,1,2,0
721579,0,1,2,0
721584,3,0,6,0
721599,4,0,2,0
721596,6,0,1,0
721593,0,1,1,0
721590,8,0,1,0
721594,0,2,1,0
721595,1,0,0,2
721591,8,0,4,0
721598,7,0,4,0
721592,3,0,3,0
721597,3,0,3,0
721600,1,0,0,1
721604,1,0,0,1
721608,0,1,7,0
721602,3,0,0,1
721601,2,0,5,0
721606,0,1,4,0
721610,4,0,1,0
721603,2,0,0,2
721611,4,0,2,0
721607,0,3,4,0
721605,0,1,8,0
721609,5,0,0,1
721622,6,0,0,1
721616,1,0,1,0
721615,0,1,0,2
721621,0,1,3,0
721620,0,1,4,0
721619,8,0,0,4
721614,1,0,6,0
721618,1,0,2,0
721612,0,1,5,0
721613,1,0,3,0
721617,2,0,0,2
721627,4,0,2,0
721633,6,0,1,0
721631,0,1,1,0
721623,0,2,0,1
721632,7,0,0,1
721625,4,0,1,0
721630,1,0,3,0
721624,2,0,1,0
721628,3,0,2,0
721626,1,0,9,0
721629,1,0,5,0
721640,2,0,5,0
721644,1,0,0,1
721635,2,0,0,1
721641,3,0,7,0
721639,4,0,1,0
721637,6,0,0,1
721634,0,2,5,0
721642,0,1,0,1
721643,2,0,2,0
721638,1,0,0,1
721636,0,1,2,0
721645,,,,
721653,,,,
721648,,,,
721652,,,,
721650,,,,
721655,,,,
721649,,,,
721654,,,,
721647,,,1,0
721651,,,,
721646,6,0,,
721662,,,,
721661,,,,
721656,,,,
721666,,,,
721659,,,,
721664,,,,
721660,,,,
721657,,,,
721658,,,,
721663,,,,
721665,,,,
721670,,,,
721672,,,,
721668,,,,
721667,,,,
721677,,,,
721676,,,,
721674,,,,
721671,,,,
721673,,,,
721669,,,,
721675,,,,
721683,,,,
721679,,,,
721681,,,,
721687,,,,
721684,,,,
721685,,,,
721688,,,,
721678,,,,
721682,,,,
721686,,,,
721680,,,,
721694,,,,
721699,,,,
721689,,,,
721691,,,,
721697,,,,
721690,,,,
721698,,,,
721692,,,,
721695,,,,
721696,,,,
721693,,,,
721700,,,,
721709,,,,
721704,,,,
721706,,,,
721702,,,,
721705,,,,
721701,,,,
721707,,,,
721708,,,,
721710,,,,
721703,,,,
721719,,,,
721717,,,,
721713,,,,
721716,,,,
721718,,,,
721712,,,,
721714,,,,
721711,,,,
721720,,,,
721715,,,,
721721,,,,
